id_objeto,id_sujeito,id_termo,id_objeto_tipo,desc_objeto,id_coluna
48137,39347,14,1,"Estudo de Problemas Brasileiros 1",17
48138,39347,28,1,1,18
48139,39347,4,2,"Instituto de Geociencias",21
48140,39348,14,1,"Estudo de Problemas Brasileiros 2",17
48141,39348,28,1,1,18
48142,39348,4,2,"Instituto de Geociencias",21
48143,39349,14,1,"MÓD 2 - PROC BIOL NA CAPTAÇAO E NA TRANS DA MATÉRIA E ENER",17
48144,39349,28,1,26,18
48145,39349,4,2,"Instituto de Ciencias Biológicas",21
48146,39350,14,1,"MÓDULO 3 - PROCESSOS MANUTENÇAO DA VIDA",17
48147,39350,28,1,25,18
48148,39350,4,2,"Instituto de Ciencias Biológicas",21
48149,39351,14,1,"MÓDULO 4 - DESENVOLVIMENTO E CRESCIMENTO",17
48150,39351,28,1,25,18
48151,39351,4,2,"Instituto de Ciencias Biológicas",21
48152,39352,14,1,"MÓDULO 5 - PROCESSOS REPRODUTIVOS",17
48153,39352,28,1,27,18
48154,39352,4,2,"Instituto de Ciencias Biológicas",21
48155,39353,14,1,"MÓDULO 6 - MECANISMOS DE AJUSTAMENTO AMBIENTAL E COLONIZAÇAO",17
48156,39353,28,1,27,18
48157,39353,4,2,"Instituto de Ciencias Biológicas",21
48158,39354,14,1,"MÓDULO 7 - SOLUÇOES ADAPTATIVAS E FILOGENIA",17
48159,39354,28,1,28,18
48160,39354,4,2,"Instituto de Ciencias Biológicas",21
48161,39355,14,1,"MÓDULO 8 - PROCESSOS EMERGENTES E BIODIVERSIDADE",17
48162,39355,28,1,29,18
48163,39355,4,2,"Instituto de Ciencias Biológicas",21
48164,39356,14,1,"Projeto de Sistemas de Produçao 4",17
48165,39356,28,1,2,18
48166,39356,4,2,"Departamento de Engenharia de Produçao",21
48167,39357,14,1,"Planejamento e Controle da Produçao",17
48168,39357,28,1,4,18
48169,39357,4,2,"Departamento de Engenharia de Produçao",21
48170,39358,14,1,"Tomada de Decisao com Enfoque em Análise Multicritério",17
48171,39358,28,1,4,18
