cod_disciplina;nome_disciplina;creditos;cod_departamento;sigla_departamento;nome_departamento
100021;Estudo de Problemas Brasileiros 1                                     ;1;28;IGD         ;Instituto de Geociencias                          
100030;Estudo de Problemas Brasileiros 2                                     ;1;28;IGD         ;Instituto de Geociencias                          
100056;MÓD 2 - PROC BIOL NA CAPTAÇAO E NA TRANS DA MATÉRIA E ENER            ;26;15;IB          ;Instituto de Ciencias Biológicas                  
100064;MÓDULO 3 - PROCESSOS MANUTENÇAO DA VIDA                               ;25;15;IB          ;Instituto de Ciencias Biológicas                  
100072;MÓDULO 4 - DESENVOLVIMENTO E CRESCIMENTO                              ;25;15;IB          ;Instituto de Ciencias Biológicas                  
100081;MÓDULO 5 - PROCESSOS REPRODUTIVOS                                     ;27;15;IB          ;Instituto de Ciencias Biológicas                  
100099;MÓDULO 6 - MECANISMOS DE AJUSTAMENTO AMBIENTAL E COLONIZAÇAO          ;27;15;IB          ;Instituto de Ciencias Biológicas                  
100102;MÓDULO 7 - SOLUÇOES ADAPTATIVAS E FILOGENIA                           ;28;15;IB          ;Instituto de Ciencias Biológicas                  
100111;MÓDULO 8 - PROCESSOS EMERGENTES E BIODIVERSIDADE                      ;29;15;IB          ;Instituto de Ciencias Biológicas                  
100129;Projeto de Sistemas de Produçao 4                                     ;2;308;EPR         ;Departamento de Engenharia de Produçao
100137;Planejamento e Controle da Produçao                                   ;4;308;EPR         ;Departamento de Engenharia de Produçao
100145;Tomada de Decisao com Enfoque em Análise Multicritério                ;4;308;EPR         ;Departamento de Engenharia de Produçao
100153;Simulaçao de Sistemas                                                 ;4;308;EPR         ;Departamento de Engenharia de Produçao
100161;Gestao de Riscos                                                      ;4;308;EPR         ;Departamento de Engenharia de Produçao
100170;Gramática Histórica Comparada das Línguas Modernas                    ;4;126;LET         ;Departamento de Línguas Estrangeiras e Traduçao   
100188;Introduçao r Vulcanologia                                             ;2;28;IGD         ;Instituto de Geociencias                          
100196;Físico Química de Polímeros                                           ;4;85;IQD         ;Instituto de Química                              
100200;Síntese de Polímeros                                                  ;4;85;IQD         ;Instituto de Química                              
100218;Cuidado em Situaçoes Cirúrgicas                                       ;2;232;ENF         ;Departamento de Enfermagem                        
100226;Fundamentos de Citogenética Humana                                    ;2;96;FCE         ;UnB - Faculdade da Ceilândia                      
100234;Biocombustíveis                                                       ;4;30;FAV         ;Faculdade de Agronomia e Medicina Veterinária     
100242;Tópicos Especiais em Filosofia Oriental                               ;4;117;FIL         ;Departamento de Filosofia                         
100251;Genero e Educaçao                                                     ;4;23;FE          ;Faculdade de Educaçao                             
100269;Controle de Sistemas Marítimos                                        ;4;139;ENM         ;Departamento de Engenharia Mecânica               
100277;Introduçao r Exploraçao de Petróleo em Alto Mar                       ;2;139;ENM         ;Departamento de Engenharia Mecânica               
100285;Fundamentos de Engenharia de Reservatório                             ;2;139;ENM         ;Departamento de Engenharia Mecânica               
100293;Trabalho Final de Graduaçao em Arquitetura e Urbanismo                ;4;130;PRO         ;Departamento de Projetos Expressao e Representaçao
100307;Sistemas Estruturais em Concreto Armado 2                             ;4;131;TEC         ;Departamento de Tecnologia em Arquit. e Urbanismo 
100315;Projeto de Paisagismo 2                                               ;4;130;PRO         ;Departamento de Projetos Expressao e Representaçao
100323;Residencia em Políticas Públicas 1                                    ;4;360;GPP         ;Departamento de Gestao de Políticas Públicas - GPP
100331;Residencia em Políticas Públicas 2                                    ;4;360;GPP         ;Departamento de Gestao de Políticas Públicas - GPP
100340;Instalaçoes e Equipamentos 1                                          ;2;131;TEC         ;Departamento de Tecnologia em Arquit. e Urbanismo 
100358;Instalaçoes e Equipamentos 2                                          ;2;131;TEC         ;Departamento de Tecnologia em Arquit. e Urbanismo 
100366;Uso Racional de Medicamentos em Odontologia                           ;2;233;ODT         ;Departamento de Odontologia                       
100374;Tópicos Complementares em Prótese Total Removível                     ;2;233;ODT         ;Departamento de Odontologia                       
100382;Tópicos Complementares em Prótese Parcial Removível                   ;2;233;ODT         ;Departamento de Odontologia                       
100391;Design de Interaçao                                                   ;4;166;DIN         ;Departamento de Desenho Industrial                
100404;Projeto de Extensao em Música 1                                       ;4;165;MUS         ;Departamento de Música                            
100412;Projeto de Extensao em Música 2                                       ;4;165;MUS         ;Departamento de Música                            
100421;Introduçao aos Cuidados Paliativos                                    ;2;96;FCE         ;UnB - Faculdade da Ceilândia                      
100439;Estágio Curricular Supervisionado em Enfermagem 2                     ;18;96;FCE         ;UnB - Faculdade da Ceilândia                      
100447;Introduçao a Análise e ao Apoio Institucional em Saúde                ;2;96;FCE         ;UnB - Faculdade da Ceilândia                      
100455;Seguridade Social 3 - Assistencia Social                              ;4;116;SER         ;Departamento de Serviço Social                    
100463;Tópicos Especiais em Comunicaçao Organizacional 2                     ;2;27;FAC         ;Faculdade de Comunicaçao                          
100471;Nanobiotecnologia                                                     ;2;221;GEM         ;Departamento de Genética e Morfologia             
100480;Práticas em Virologia Molecular                                       ;6;21;FS          ;Faculdade de Ciencias da Saúde                    
100498;A Uniao Européia e a Cooperaçao Internacional                         ;4;110;CEAM        ;Centro de Estudos Avançados e Multidisciplinares  
100501;Budismo Hinayana                                                      ;4;110;CEAM        ;Centro de Estudos Avançados e Multidisciplinares  
100510;Introduçao r Computaçao Aplicada aos Processos Químicos               ;4;85;IQD         ;Instituto de Química                              
100528;Trabalho de Conclusao de Curso 1                                      ;4;119;HIS         ;Departamento de História                          
100536;Tópico de Metodologia de História Social                              ;4;119;HIS         ;Departamento de História                          
100544;Prática de Ensino de História 2                                       ;11;119;HIS         ;Departamento de História                          
100552;Gestao de Resíduos Agroindustriais                                    ;4;30;FAV         ;Faculdade de Agronomia e Medicina Veterinária     
100561;Introduçao r Pesquisa em Música                                       ;2;165;MUS         ;Departamento de Música                            
100579;Timor-Leste: Natureza, Cultura, Linguagem e Identidade                ;4;110;CEAM        ;Centro de Estudos Avançados e Multidisciplinares  
100587;Teorias Filosóficas da Linguagem                                      ;6;117;FIL         ;Departamento de Filosofia                         
100595;Pesquisa em Traduçao                                                  ;4;126;LET         ;Departamento de Línguas Estrangeiras e Traduçao   
100609;Filosofia Contemporânea                                               ;6;117;FIL         ;Departamento de Filosofia                         
100617;Traduçao de Textos Literários                                         ;4;126;LET         ;Departamento de Línguas Estrangeiras e Traduçao   
100625;Estágio Pedagógico Supervisionado 1                                   ;6;117;FIL         ;Departamento de Filosofia                         
100633;Versao de Textos Literários                                           ;4;126;LET         ;Departamento de Línguas Estrangeiras e Traduçao   
100641;Estágio Supervisionado no Ensino de Biologia                          ;6;111;IBD         ;Direçao do Instituto Ciencias Biológicas          
100650;Evoluçao                                                              ;2;111;IBD         ;Direçao do Instituto Ciencias Biológicas          
100668;Fisiologia Animal 2                                                   ;4;111;IBD         ;Direçao do Instituto Ciencias Biológicas          
100676;Pesquisa em Educaçao Científica                                       ;6;15;IB          ;Instituto de Ciencias Biológicas                  
100684;Fundamentos de Física                                                 ;4;111;IBD         ;Direçao do Instituto Ciencias Biológicas          
100692;Embriologia Animal                                                    ;4;111;IBD         ;Direçao do Instituto Ciencias Biológicas          
100706;Biologia Molecular                                                    ;4;111;IBD         ;Direçao do Instituto Ciencias Biológicas          
100714;Organografia e Sistemática Fanerofítica                               ;4;111;IBD         ;Direçao do Instituto Ciencias Biológicas          
100722;Didática da Biologia                                                  ;4;111;IBD         ;Direçao do Instituto Ciencias Biológicas          
100731;Patologia Molecular Clínica                                           ;4;96;FCE         ;UnB - Faculdade da Ceilândia                      
100749;Escolarizaçao de Surdos e LIBRAS                                      ;4;149;TEF         ;Departamento de Teoria e Fundamentos              
100757;Clínica Médica de Animais de Companhia 1                              ;6;30;FAV         ;Faculdade de Agronomia e Medicina Veterinária     
100765;Clínica Médica de Animais de Companhia 2                              ;6;30;FAV         ;Faculdade de Agronomia e Medicina Veterinária     
100773;Clínica e Cirurgia de Ruminantes e Equinos 1                          ;10;30;FAV         ;Faculdade de Agronomia e Medicina Veterinária     
100781;Semiologia Veterinária                                                ;4;30;FAV         ;Faculdade de Agronomia e Medicina Veterinária     
100790;Clínica e Cirurgia de Ruminantes e Equinos 2                          ;10;30;FAV         ;Faculdade de Agronomia e Medicina Veterinária     
100803;História da África Colonial                                           ;4;119;HIS         ;Departamento de História                          
100811;Introduçao r Prótese Parcial Removível                                ;2;233;ODT         ;Departamento de Odontologia                       
100820;Prótese Parcial Fixa                                                  ;4;233;ODT         ;Departamento de Odontologia                       
100838;Hematologia Clínica                                                   ;4;96;FCE         ;UnB - Faculdade da Ceilândia                      
100846;Teoria, Crítica e História da Arte 2                                  ;4;163;VIS         ;Departamento de Artes Visuais                     
100854;Arte e Sociologia                                                     ;4;163;VIS         ;Departamento de Artes Visuais                     
100862;A Enfermagem na Estratégia  Saúde da Família                          ;2;96;FCE         ;UnB - Faculdade da Ceilândia                      
100871;Processos Cognitivos: Aplicaçoes em Fisioterapia                      ;2;96;FCE         ;UnB - Faculdade da Ceilândia                      
100889;Prática da Fisioterapia Baseada em Problemas                          ;2;96;FCE         ;UnB - Faculdade da Ceilândia                      
100897;Tópicos Avançados em Patologia Humana                                 ;4;96;FCE         ;UnB - Faculdade da Ceilândia                      
100901;Biologia Regenerativa                                                 ;3;221;GEM         ;Departamento de Genética e Morfologia             
100919;Materiais em Ilustraçao Científica                                    ;4;15;IB          ;Instituto de Ciencias Biológicas                  
100927;Biologia do Câncer                                                    ;4;221;GEM         ;Departamento de Genética e Morfologia             
100935;Biologia Quantitativa                                                 ;6;111;IBD         ;Direçao do Instituto Ciencias Biológicas          
100943;Segurança e Saúde no Trabalho                                         ;4;308;EPR         ;Departamento de Engenharia de Produçao
100951;Cinética, Processos e Operaçoes Unitárias                             ;4;137;ENC         ;Departamento de Engenharia Civil e Ambiental      
100960;Aspectos Econômicos da Engenharia Ambiental                           ;2;137;ENC         ;Departamento de Engenharia Civil e Ambiental      
100978;Saúde, Saneamento e Meio Ambiente                                     ;2;137;ENC         ;Departamento de Engenharia Civil e Ambiental      
100986;Eletricidade Básica                                                   ;4;138;ENE         ;Departamento de Engenharia Elétrica.              
100994;Laboratório de Eletricidade Básica                                    ;2;138;ENE         ;Departamento de Engenharia Elétrica.              
101001;Anatomia e Fisiologia Vegetal                                         ;4;89;FUP         ;UnB - Faculdade de Planaltina                     
101010;Tópicos Especiais em Biológia                                         ;4;89;FUP         ;UnB - Faculdade de Planaltina                     
101028;Planejamento e Avaliaçao Socioambiental                               ;4;213;CDS         ;Centro de Desenvolvimento Sustentável             
101036;Planejamento e Gestao em Turismo 1                                    ;4;56;CET         ;Centro de Excelencia em Turismo                   
101044;Legislaçao Turística                                                  ;2;56;CET         ;Centro de Excelencia em Turismo                   
101052;Estágio Supervisionado 1                                              ;4;56;CET         ;Centro de Excelencia em Turismo                   
101061;Princípios da Técnica Cirúrgica                                       ;4;233;ODT         ;Departamento de Odontologia                       
101079;Clínica Odontológica 6                                                ;12;233;ODT         ;Departamento de Odontologia                       
101087;Contrataçao de Serviços de Tecnologia da Informaçao                   ;4;95;FGA         ;UnB - Faculdade do Gama                           
101095;Compiladores 1                                                        ;4;95;FGA         ;UnB - Faculdade do Gama                           
101109;Técnicas de Mediçao Funcional e Estimativas de Software               ;4;95;FGA         ;UnB - Faculdade do Gama                           
101117;Fundamentos de Equaçoes Diferenciais para Engenharia                  ;4;95;FGA         ;UnB - Faculdade do Gama                           
101125;Confiabilidade de Componentes e Sistemas                              ;4;95;FGA         ;UnB - Faculdade do Gama                           
101133;Sistemas Aeroespaciais                                                ;4;95;FGA         ;UnB - Faculdade do Gama                           
101141;Trabalho de Conclusao de Curso 1                                      ;4;95;FGA         ;UnB - Faculdade do Gama                           
101150;Estágio em Extensao 1                                                 ;4;111;IBD         ;Direçao do Instituto Ciencias Biológicas          
101168;Democracia e Relaçoes Internacionais                                  ;4;87;IREL        ;Instituto de Relaçoes Internacionais              
101176;Atençao Primária em Saúde                                             ;4;96;FCE         ;UnB - Faculdade da Ceilândia                      
101184;Bioética e Saúde Coletiva                                             ;2;96;FCE         ;UnB - Faculdade da Ceilândia                      
101192;Demografia e Bioestatística em Saúde Coletiva                         ;4;96;FCE         ;UnB - Faculdade da Ceilândia                      
101206;Instrumento Principal Contrabaixo Elétrico 3                          ;2;165;MUS         ;Departamento de Música                            
101214;Instrumento Principal Contrabaixo Elétrico 4                          ;2;165;MUS         ;Departamento de Música                            
101222;Instrumento Principal Oboé 1                                          ;2;165;MUS         ;Departamento de Música                            
