sigla_departamento;nome_departamento;cod_faculdade;nome_faculdade;cod_materia;periodo;prioridade
ADM         ;Departamento de Administração                     ;19;Administração                                                         ;113034;1;1
ADM         ;Departamento de Administração                     ;19;Administração                                                         ;181013;1;2
ADM         ;Departamento de Administração                     ;19;Administração                                                         ;185035;1;3
ADM         ;Departamento de Administração                     ;19;Administração                                                         ;132012;1;4
ADM         ;Departamento de Administração                     ;19;Administração                                                         ;202321;1;5
ADM         ;Departamento de Administração                     ;19;Administração                                                         ;115011;2;6
ADM         ;Departamento de Administração                     ;19;Administração                                                         ;186791;2;7
ADM         ;Departamento de Administração                     ;19;Administração                                                         ;186457;2;8
ADM         ;Departamento de Administração                     ;19;Administração                                                         ;186384;2;9
ADM         ;Departamento de Administração                     ;19;Administração                                                         ;202339;2;10
ADM         ;Departamento de Administração                     ;19;Administração                                                         ;186201;3;11
ADM         ;Departamento de Administração                     ;19;Administração                                                         ;200794;3;12
ADM         ;Departamento de Administração                     ;19;Administração                                                         ;181081;3;13
ADM         ;Departamento de Administração                     ;19;Administração                                                         ;186236;3;14
ADM         ;Departamento de Administração                     ;19;Administração                                                         ;186180;3;15
ADM         ;Departamento de Administração                     ;19;Administração                                                         ;202398;3;30
ADM         ;Departamento de Administração                     ;19;Administração                                                         ;181196;4;16
ADM         ;Departamento de Administração                     ;19;Administração                                                         ;181145;4;17
ADM         ;Departamento de Administração                     ;19;Administração                                                         ;186198;4;18
ADM         ;Departamento de Administração                     ;19;Administração                                                         ;202380;4;19
ADM         ;Departamento de Administração                     ;19;Administração                                                         ;181307;5;20
ADM         ;Departamento de Administração                     ;19;Administração                                                         ;184021;5;21
ADM         ;Departamento de Administração                     ;19;Administração                                                         ;181064;5;22
ADM         ;Departamento de Administração                     ;19;Administração                                                         ;134601;5;23
ADM         ;Departamento de Administração                     ;19;Administração                                                         ;202134;6;24
ADM         ;Departamento de Administração                     ;19;Administração                                                         ;186040;6;25
ADM         ;Departamento de Administração                     ;19;Administração                                                         ;181188;6;26
ADM         ;Departamento de Administração                     ;19;Administração                                                         ;181102;6;27
ADM         ;Departamento de Administração                     ;19;Administração                                                         ;186805;7;28
ADM         ;Departamento de Administração                     ;19;Administração                                                         ;202126;8;29
ADM         ;Departamento de Administração                     ;701;Administração                                                         ;113034;1;1
ADM         ;Departamento de Administração                     ;701;Administração                                                         ;181013;1;2
ADM         ;Departamento de Administração                     ;701;Administração                                                         ;185035;1;3
ADM         ;Departamento de Administração                     ;701;Administração                                                         ;132012;1;4
ADM         ;Departamento de Administração                     ;701;Administração                                                         ;202321;1;5
ADM         ;Departamento de Administração                     ;701;Administração                                                         ;115011;2;6
ADM         ;Departamento de Administração                     ;701;Administração                                                         ;186791;2;7
ADM         ;Departamento de Administração                     ;701;Administração                                                         ;186457;2;8
ADM         ;Departamento de Administração                     ;701;Administração                                                         ;186384;2;9
ADM         ;Departamento de Administração                     ;701;Administração                                                         ;202339;2;10
ADM         ;Departamento de Administração                     ;701;Administração                                                         ;186201;3;11
ADM         ;Departamento de Administração                     ;701;Administração                                                         ;200794;3;12
ADM         ;Departamento de Administração                     ;701;Administração                                                         ;181081;3;13
ADM         ;Departamento de Administração                     ;701;Administração                                                         ;186236;3;14
ADM         ;Departamento de Administração                     ;701;Administração                                                         ;186180;3;15
ADM         ;Departamento de Administração                     ;701;Administração                                                         ;202398;3;30
ADM         ;Departamento de Administração                     ;701;Administração                                                         ;181196;4;16
ADM         ;Departamento de Administração                     ;701;Administração                                                         ;181145;4;17
ADM         ;Departamento de Administração                     ;701;Administração                                                         ;186198;4;18
ADM         ;Departamento de Administração                     ;701;Administração                                                         ;202380;4;19
ADM         ;Departamento de Administração                     ;701;Administração                                                         ;181307;5;20
ADM         ;Departamento de Administração                     ;701;Administração                                                         ;184021;5;21
ADM         ;Departamento de Administração                     ;701;Administração                                                         ;181064;5;22
ADM         ;Departamento de Administração                     ;701;Administração                                                         ;134601;5;23
ADM         ;Departamento de Administração                     ;701;Administração                                                         ;202134;6;24
ADM         ;Departamento de Administração                     ;701;Administração                                                         ;186040;6;25
