nome_departamento;sigla_departamento;cod_faculdade;cod_materia;periodo_disciplina;prioridade;cod_fluxo
Departamento de Administraçăo                     ;ADM         ;19;113034;1;1;19113034
Departamento de Administraçăo                     ;ADM         ;19;181013;1;2;19181013
Departamento de Administraçăo                     ;ADM         ;19;185035;1;3;19185035
Departamento de Administraçăo                     ;ADM         ;19;132012;1;4;19132012
Departamento de Administraçăo                     ;ADM         ;19;202321;1;5;19202321
Departamento de Administraçăo                     ;ADM         ;19;115011;2;6;19115011
Departamento de Administraçăo                     ;ADM         ;19;186791;2;7;19186791
Departamento de Administraçăo                     ;ADM         ;19;186457;2;8;19186457
Departamento de Administraçăo                     ;ADM         ;19;186384;2;9;19186384
Departamento de Administraçăo                     ;ADM         ;19;202339;2;10;19202339
Departamento de Administraçăo                     ;ADM         ;19;186201;3;11;19186201
Departamento de Administraçăo                     ;ADM         ;19;200794;3;12;19200794
Departamento de Administraçăo                     ;ADM         ;19;181081;3;13;19181081
Departamento de Administraçăo                     ;ADM         ;19;186236;3;14;19186236
Departamento de Administraçăo                     ;ADM         ;19;186180;3;15;19186180
Departamento de Administraçăo                     ;ADM         ;19;202398;3;30;19202398
Departamento de Administraçăo                     ;ADM         ;19;181196;4;16;19181196
Departamento de Administraçăo                     ;ADM         ;19;181145;4;17;19181145
Departamento de Administraçăo                     ;ADM         ;19;186198;4;18;19186198
Departamento de Administraçăo                     ;ADM         ;19;202380;4;19;19202380
Departamento de Administraçăo                     ;ADM         ;19;181307;5;20;19181307
Departamento de Administraçăo                     ;ADM         ;19;184021;5;21;19184021
Departamento de Administraçăo                     ;ADM         ;19;181064;5;22;19181064
Departamento de Administraçăo                     ;ADM         ;19;134601;5;23;19134601
Departamento de Administraçăo                     ;ADM         ;19;202134;6;24;19202134
Departamento de Administraçăo                     ;ADM         ;19;186040;6;25;19186040
Departamento de Administraçăo                     ;ADM         ;19;181188;6;26;19181188
Departamento de Administraçăo                     ;ADM         ;19;181102;6;27;19181102
Departamento de Administraçăo                     ;ADM         ;19;186805;7;28;19186805
Departamento de Administraçăo                     ;ADM         ;19;202126;8;29;19202126
Departamento de Administraçăo                     ;ADM         ;701;113034;1;1;701113034
Departamento de Administraçăo                     ;ADM         ;701;181013;1;2;701181013
Departamento de Administraçăo                     ;ADM         ;701;185035;1;3;701185035
Departamento de Administraçăo                     ;ADM         ;701;132012;1;4;701132012
Departamento de Administraçăo                     ;ADM         ;701;202321;1;5;701202321
Departamento de Administraçăo                     ;ADM         ;701;115011;2;6;701115011
Departamento de Administraçăo                     ;ADM         ;701;186791;2;7;701186791
Departamento de Administraçăo                     ;ADM         ;701;186457;2;8;701186457
Departamento de Administraçăo                     ;ADM         ;701;186384;2;9;701186384
Departamento de Administraçăo                     ;ADM         ;701;202339;2;10;701202339
Departamento de Administraçăo                     ;ADM         ;701;186201;3;11;701186201
Departamento de Administraçăo                     ;ADM         ;701;200794;3;12;701200794
Departamento de Administraçăo                     ;ADM         ;701;181081;3;13;701181081
Departamento de Administraçăo                     ;ADM         ;701;186236;3;14;701186236
Departamento de Administraçăo                     ;ADM         ;701;186180;3;15;701186180
Departamento de Administraçăo                     ;ADM         ;701;202398;3;30;701202398
Departamento de Administraçăo                     ;ADM         ;701;181196;4;16;701181196
Departamento de Administraçăo                     ;ADM         ;701;181145;4;17;701181145
Departamento de Administraçăo                     ;ADM         ;701;186198;4;18;701186198
Departamento de Administraçăo                     ;ADM         ;701;202380;4;19;701202380
Departamento de Administraçăo                     ;ADM         ;701;181307;5;20;701181307
Departamento de Administraçăo                     ;ADM         ;701;184021;5;21;701184021
Departamento de Administraçăo                     ;ADM         ;701;181064;5;22;701181064
Departamento de Administraçăo                     ;ADM         ;701;134601;5;23;701134601
Departamento de Administraçăo                     ;ADM         ;701;202134;6;24;701202134
Departamento de Administraçăo                     ;ADM         ;701;186040;6;25;701186040
Departamento de Administraçăo                     ;ADM         ;701;181188;6;26;701181188
Departamento de Administraçăo                     ;ADM         ;701;181102;6;27;701181102
Departamento de Administraçăo                     ;ADM         ;701;186805;7;28;701186805
Departamento de Administraçăo                     ;ADM         ;701;202126;8;29;701202126
Departamento de Administraçăo                     ;ADM         ;1546;204145;1;1;1546204145
Departamento de Administraçăo                     ;ADM         ;1546;204153;1;2;1546204153
Departamento de Administraçăo                     ;ADM         ;1546;204161;1;3;1546204161
Departamento de Administraçăo                     ;ADM         ;1546;204170;1;4;1546204170
Departamento de Administraçăo                     ;ADM         ;1546;204188;1;5;1546204188
Departamento de Administraçăo                     ;ADM         ;1546;204196;1;6;1546204196
Departamento de Administraçăo                     ;ADM         ;1546;204684;2;7;1546204684
Departamento de Administraçăo                     ;ADM         ;1546;180041;2;8;1546180041
Departamento de Administraçăo                     ;ADM         ;1546;204706;2;9;1546204706
Departamento de Administraçăo                     ;ADM         ;1546;204714;2;10;1546204714
