cod_materia;nome_materia;cod_departamento;sigla_departamento;nome_departamento;creditos
339351;A America Andina e o Brasil                                           ;119;HIS         ;Departamento de História                          ;4
339342;A America Platina e o Brasil                                          ;119;HIS         ;Departamento de História                          ;4
209082;A Cidade e a Terceira Idade                                           ;110;CEAM        ;Centro de Estudos Avançados e Multidisciplinares  ;4
130214;A Ciencia e sua Funçao Social                                         ;111;IBD         ;Direçao do Instituto Ciencias Biológicas          ;6
386413;A Dimensao Atlântida da Política Externa do Brasil                    ;87;IREL        ;Instituto de Relaçoes Internacionais              ;4
386421;A Dimensao Multilateral da Política Externa Brasileira                ;87;IREL        ;Instituto de Relaçoes Internacionais              ;4
100862;A Enfermagem na Estratégia  Saúde da Família                          ;96;FCE         ;UnB - Faculdade da Ceilândia                      ;2
392839;A Escola e seu Significado Social                                     ;23;FE          ;Faculdade de Educaçao                             ;4
327875;A Escrita de Textos Academicos                                        ;23;FE          ;Faculdade de Educaçao                             ;4
347116;A Ética e a Problemática do Conhecimento                              ;117;FIL         ;Departamento de Filosofia                         ;4
371157;A Ética na Pesquisa Científica                                        ;21;FS          ;Faculdade de Ciencias da Saúde                    ;4
308544;A Experiencia Artística e a Prática do Ensino de Artes na Escola      ;164;CEN         ;Departamento de Artes Cenicas                     ;4
114855;A Experimentaçao no Ensino de Química                                 ;85;IQD         ;Instituto de Química                              ;2
198820;A Formaçao da Identidade Humana e a Organizaçao da Sociedade          ;89;FUP         ;UnB - Faculdade de Planaltina                     ;4
342831;A Formaçao de Professores de Linguas                                  ;126;LET         ;Departamento de Línguas Estrangeiras e Traduçao   ;4
199541;A História no Cinema e no Video                                       ;110;CEAM        ;Centro de Estudos Avançados e Multidisciplinares  ;4
386430;A Inserçao Internacional da Ásia                                      ;87;IREL        ;Instituto de Relaçoes Internacionais              ;4
341908;A Internet no Ensino de Línguas Estrangeiras                          ;124;LIP         ;Departamento de Linguística; Portugues; Líng Clás ;4
193925;A Nova Narrativa                                                      ;17;IL          ;Instituto de Letras                               ;4
158186;A Palavra em Performance                                              ;164;CEN         ;Departamento de Artes Cenicas                     ;4
313670;A Permanencia do Romance Histórico                                    ;125;TEL         ;Departamento de Teoria Literária e Literatura     ;4
187143;A Política Exterior do Brasil na Primeira República                   ;87;IREL        ;Instituto de Relaçoes Internacionais              ;4
187135;A Política Exterior do Brasil sob o Império                           ;87;IREL        ;Instituto de Relaçoes Internacionais              ;4
187127;A Política Exterior do Brasil sob o Nacional-Desenvolvimento          ;87;IREL        ;Instituto de Relaçoes Internacionais              ;4
198838;A Produçao Reproduçao Social da Cultura                               ;89;FUP         ;UnB - Faculdade de Planaltina                     ;4
