cod_oferta;turma;vagas_oferecidas;periodo;matricula_professor;cod_materia
647642;A ;40;20181;136093;166189
647646;A ;13;20181;31259;127183
647647;C ;13;20181;1091221;127183
647648;D ;13;20181;1017217;127183
647652;A ;40;20181;1064941;182869
647654;A ;30;20181;1027719;179868
647655;B ;30;20181;1027808;179868
647656;B ;120;20181;149225;198013
647657;C ;123;20181;993930;198013
647658;A ;40;20181;1108221;165221
647659;A ;30;20181;987956;150983
647660;A ;40;20181;728535;200492
647662;A ;55;20181;917613;115151
647664;DD;35;20181;1043455;145467
647665;A ;30;20181;1108557;145467
647666;B ;35;20181;1076949;145467
647667;A ;40;20181;1062557;203904
647668;A ;45;20181;1057545;201219
647675;A ;25;20181;1097091;105571
647676;B ;25;20181;1097091;105571
647677;A ;25;20181;1097393;104701
647678;B ;25;20181;1099311;104701
647679;A ;30;20181;1094157;202771
647680;F ;47;20181;1103717;140082
647681;E ;37;20181;1017268;140082
647682;A ;45;20181;1098489;140082
647683;B ;35;20181;1038486;140082
647684;G ;38;20181;1103717;140082
647685;C ;40;20181;1009451;140082
647686;H ;38;20181;1091280;140082
647687;A ;20;20181;1045172;158381
647688;A ;33;20181;152439;167975
647690;A ;40;20181;1109031;130290
647691;D ;15;20181;1104144;155390
647692;C ;15;20181;1074423;155390
647693;A ;20;20181;201979;155390
647694;B ;20;20181;1020692;155390
647696;D ;55;20181;1027344;180424
647697;A ;40;20181;801089;104167
647698;A ;50;20181;1010972;119024
647707;B ;50;20181;137511;114464
647708;A ;45;20181;1064134;181391
647710;A ;29;20181;1045547;182141
647711;A ;42;20181;1017110;182702
647723;C ;18;20181;1055445;179451
647724;E ;18;20181;1055445;179451
647726;A ;40;20181;992321;179451
647727;B ;30;20181;992321;179451
647728;A ;30;20181;1066188;177440
647729;B ;31;20181;1064118;173053
647730;D ;30;20181;1040421;173053
647732;C ;30;20181;150029;173053
647734;A ;5;20181;145688;175650
647735;B ;5;20181;1106708;175650
647736;C ;5;20181;770001;175650
647737;A ;15;20181;1106104;168823
647738;E ;40;20181;1045814;168823
647739;B ;15;20181;1106104;168823
647740;C ;15;20181;1106660;168823
647741;D ;50;20181;1106660;168823
647742;A ;15;20181;1103792;147524
647743;A ;20;20181;140538;165808
647747;A ;61;20181;146625;184799
647748;B ;60;20181;665274;184799
647749;A ;30;20181;130427;207888
647750;A ;75;20181;152251;114782
647751;B ;75;20181;1029339;114782
647752;A ;40;20181;1043145;182052
647754;A ;60;20181;309265;132144
647755;B ;60;20181;1109715;132144
647757;C ;40;20181;148148;122050
647758;F ;40;20181;1017250;122050
647759;E ;40;20181;148148;122050
647760;A ;40;20181;148148;122050
647761;B ;40;20181;148148;122050
647762;D ;30;20181;148148;122050
647763;B ;50;20181;1042467;114111
647764;A ;50;20181;1042467;114111
647769;A ;30;20181;1035886;146331
647770;A ;40;20181;1030299;104817
647771;A ;40;20181;1097369;206431
647772;A ;20;20181;734721;126594
647773;A ;40;20181;1055241;203521
647774;A ;20;20181;148121;158267
647775;A ;95;20181;1044052;180491
647776;C ;60;20181;999393;180491
647778;B ;50;20181;1098764;119644
647779;C ;50;20181;1046144;119644
647780;A ;50;20181;1035134;119644
647802;B ;1;20181;147559;177768
647803;B ;20;20181;1036831;111805
647804;C ;20;20181;1042483;111805
647805;D ;20;20181;1042483;111805
647806;E ;20;20181;1036831;111805
647809;A ;60;20181;1049119;111856
647810;A ;50;20181;1027221;103951
647811;A ;30;20181;1014447;202819
647812;A ;40;20181;1074768;153036
647813;A ;25;20181;736104;147486
647825;A ;40;20181;1050303;196401
647826;B ;40;20181;1038508;196401
647827;A ;50;20181;1028995;115932
647828;A ;50;20181;1027328;114596
647830;A ;20;20181;203416;179272
647831;B ;20;20181;203416;179272
647832;C ;30;20181;745944;179272
647833;A ;50;20181;1048597;197424
647834;B ;40;20181;1057049;197424
647836;B ;40;20181;1108816;196452
647837;A ;40;20181;1038508;196452
647838;B ;40;20181;1110187;196371
647839;A ;50;20181;1018167;196371
647840;A ;35;20181;1055801;194646
647841;C ;40;20181;146641;194646
647843;A ;25;20181;1057952;208086
647844;B ;25;20181;1057952;208086
647845;C ;25;20181;1057952;208086
647846;D ;25;20181;1057952;208086
647862;A ;30;20181;1065017;107425
647863;A ;40;20181;1107127;205427
647864;B ;40;20181;1107127;205427
647865;A ;60;20181;1016270;188298
647866;B ;60;20181;1016270;188298
647867;A ;25;20181;1040987;142891
647868;A ;40;20181;139246;182699
647869;A ;60;20181;1098721;202321
647870;B ;60;20181;1108891;202321
647871;A ;40;20181;994235;201600
647874;A ;60;20181;1064169;202002
647875;A ;60;20181;1078127;188379
647876;A ;40;20181;731811;138479
647877;A ;30;20181;1014269;138177
647878;B ;30;20181;1009893;138177
647879;B ;40;20181;1098489;140481
647880;A ;37;20181;1013921;113107
647923;D ;3;20181;1052551;177768
647924;E ;3;20181;150878;177768
647925;F ;5;20181;1096541;177768
647926;G ;3;20181;1056123;177768
647927;H ;1;20181;1077091;177768
647939;A ;40;20181;1035975;161004
647940;A ;40;20181;1049054;203271
647942;A ;32;20181;1048660;201618
647943;A ;40;20181;1074865;102946
647944;A ;60;20181;121649;200948
647949;B ;30;20181;1036122;124974
647950;A ;30;20181;1036122;124974
647956;A ;20;20181;1111736;207985
647957;B ;40;20181;1097440;207985
647958;A ;50;20181;1094793;200816
647961;A ;70;20181;1109448;121347
647964;A ;50;20181;1063227;206547
647965;A ;45;20181;139246;182834
647966;A ;28;20181;1102010;147451
647968;A ;20;20181;1039083;180777
647969;B ;20;20181;1039083;180777
647970;B ;60;20181;1100874;186759
647971;A ;70;20181;1100874;186759
647972;A ;36;20181;137596;138495
647974;A ;50;20181;1062832;175846
647976;D ;50;20181;1060597;186236
647977;A ;16;20181;1080652;176044
647978;B ;16;20181;1080652;176044
647983;B ;40;20181;1098683;106275
648006;A ;45;20181;1044893;126608
648008;A ;40;20181;1060244;207519
648009;A ;40;20181;150061;166073
648012;B ;60;20181;1097598;184802
