cod_materia;cod_oferta;turma;vagas_oferecidas;periodo;matricula_professor;cod_disciplina
647642;647642A 20181;A ;40;20181;136093;647642
647643;647643L 20181;L ;0;20181;1051318;647643
647644;647644M 20181;M ;0;20181;1055674;647644
647645;647645XX20181;XX;0;20181;1054163;647645
647646;647646A 20181;A ;13;20181;31259;647646
647647;647647C 20181;C ;13;20181;1091221;647647
647648;647648D 20181;D ;13;20181;1017217;647648
647649;647649A 20181;A ;0;20181;745944;647649
647651;647651MM20181;MM;0;20181;665495;647651
647652;647652A 20181;A ;40;20181;1064941;647652
647654;647654A 20181;A ;30;20181;1027719;647654
647655;647655B 20181;B ;30;20181;1027808;647655
647656;647656B 20181;B ;120;20181;149225;647656
647657;647657C 20181;C ;120;20181;993930;647657
647658;647658A 20181;A ;40;20181;1108221;647658
647659;647659A 20181;A ;30;20181;987956;647659
647660;647660A 20181;A ;40;20181;728535;647660
647661;647661A 20181;A ;0;20181;1018523;647661
647662;647662A 20181;A ;55;20181;917613;647662
647663;647663A 20181;A ;0;20181;989479;647663
647664;647664DD20181;DD;35;20181;1043455;647664
647665;647665A 20181;A ;30;20181;1046942;647665
647666;647666B 20181;B ;35;20181;1076949;647666
647667;647667A 20181;A ;40;20181;1062557;647667
647668;647668A 20181;A ;45;20181;1057545;647668
647669;647669B 20181;B ;0;20181;1042823;647669
647670;647670H 20181;H ;0;20181;1070754;647670
647671;647671I 20181;I ;0;20181;1034791;647671
647672;647672A 20181;A ;0;20181;1055569;647672
647673;647673K 20181;K ;0;20181;1070398;647673
647674;647674J 20181;J ;0;20181;1064100;647674
647675;647675A 20181;A ;25;20181;1097091;647675
647676;647676B 20181;B ;25;20181;1102214;647676
647677;647677A 20181;A ;25;20181;1097393;647677
647678;647678B 20181;B ;25;20181;1055569;647678
647679;647679A 20181;A ;30;20181;1094157;647679
647680;647680F 20181;F ;47;20181;1103717;647680
647681;647681E 20181;E ;37;20181;1017268;647681
647682;647682A 20181;A ;45;20181;1098489;647682
647683;647683B 20181;B ;35;20181;1038486;647683
647684;647684G 20181;G ;38;20181;1103717;647684
647685;647685C 20181;C ;40;20181;1009451;647685
647686;647686H 20181;H ;38;20181;1091280;647686
647687;647687A 20181;A ;20;20181;1045172;647687
647688;647688A 20181;A ;33;20181;152439;647688
647690;647690A 20181;A ;40;20181;1109031;647690
647691;647691D 20181;D ;15;20181;1104144;647691
647692;647692C 20181;C ;15;20181;1074423;647692
647693;647693A 20181;A ;20;20181;201979;647693
647694;647694B 20181;B ;20;20181;1020692;647694
647695;647695A 20181;A ;0;20181;1064096;647695
647696;647696D 20181;D ;55;20181;1027344;647696
647697;647697A 20181;A ;40;20181;801089;647697
647698;647698A 20181;A ;50;20181;1010972;647698
647699;647699A 20181;A ;0;20181;1027727;647699
647700;647700P 20181;P ;0;20181;745731;647700
647701;647701Q 20181;Q ;0;20181;1034979;647701
647702;647702M 20181;M ;0;20181;1036831;647702
647703;647703N 20181;N ;0;20181;1019864;647703
647704;647704O 20181;O ;0;20181;999474;647704
647705;647705D 20181;D ;0;20181;1018370;647705
647706;647706E 20181;E ;0;20181;1082442;647706
647707;647707B 20181;B ;50;20181;137511;647707
647708;647708A 20181;A ;45;20181;1064134;647708
647709;647709A 20181;A ;0;20181;146081;647709
647710;647710A 20181;A ;29;20181;1045547;647710
647711;647711A 20181;A ;44;20181;1017110;647711
647713;647713A 20181;A ;0;20181;1045172;647713
647715;647715P 20181;P ;50;20181;54909;647715
647716;647716E 20181;E ;1;20181;54747;647716
647717;647717R 20181;R ;50;20181;54909;647717
647718;647718S 20181;S ;50;20181;54909;647718
647719;647719O 20181;O ;50;20181;54909;647719
647720;647720T 20181;T ;50;20181;54909;647720
647721;647721N 20181;N ;50;20181;54909;647721
647722;647722Q 20181;Q ;50;20181;54909;647722
647723;647723C 20181;C ;18;20181;1055445;647723
647724;647724E 20181;E ;18;20181;1055445;647724
647725;647725D 20181;D ;0;20181;992321;647725
647726;647726A 20181;A ;40;20181;992321;647726
647727;647727B 20181;B ;30;20181;1018001;647727
647728;647728A 20181;A ;30;20181;1066188;647728
647729;647729B 20181;B ;31;20181;1064118;647729
647730;647730D 20181;D ;30;20181;1040421;647730
647732;647732C 20181;C ;30;20181;150029;647732
647733;647733A 20181;A ;0;20181;1051474;647733
647734;647734A 20181;A ;5;20181;145688;647734
647735;647735B 20181;B ;5;20181;1106708;647735
647736;647736C 20181;C ;5;20181;150371;647736
647737;647737A 20181;A ;15;20181;1044737;647737
647738;647738E 20181;E ;40;20181;1045814;647738
647739;647739B 20181;B ;15;20181;1044737;647739
647740;647740C 20181;C ;15;20181;1044737;647740
647741;647741D 20181;D ;50;20181;1106660;647741
647742;647742A 20181;A ;15;20181;1066536;647742
647743;647743A 20181;A ;20;20181;140538;647743
647744;647744B 20181;B ;0;20181;148911;647744
647745;647745A 20181;A ;0;20181;700410;647745
647746;647746C 20181;C ;0;20181;1026780;647746
647747;647747A 20181;A ;61;20181;146625;647747
647748;647748B 20181;B ;60;20181;665274;647748
647749;647749A 20181;A ;30;20181;130427;647749
647750;647750A 20181;A ;75;20181;137260;647750
647751;647751B 20181;B ;75;20181;152251;647751
647752;647752A 20181;A ;40;20181;1043145;647752
647753;647753C 20181;C ;0;20181;150509;647753
647754;647754A 20181;A ;60;20181;309265;647754
647755;647755B 20181;B ;60;20181;1048015;647755
647757;647757C 20181;C ;40;20181;1017250;647757
647758;647758F 20181;F ;40;20181;148148;647758
647759;647759E 20181;E ;40;20181;149951;647759
647760;647760A 20181;A ;40;20181;148148;647760
647761;647761B 20181;B ;40;20181;1017250;647761
647762;647762D 20181;D ;30;20181;1017250;647762
647763;647763B 20181;B ;50;20181;1042467;647763
647764;647764A 20181;A ;50;20181;1042467;647764
647765;647765A 20181;A ;0;20181;1014994;647765
647766;647766B 20181;B ;0;20181;1048546;647766
647767;647767C 20181;C ;0;20181;1025317;647767
647768;647768D 20181;D ;0;20181;1052471;647768
647769;647769A 20181;A ;30;20181;1035886;647769
647770;647770A 20181;A ;40;20181;1030299;647770
647771;647771A 20181;A ;40;20181;1097369;647771
647772;647772A 20181;A ;20;20181;734721;647772
647773;647773A 20181;A ;40;20181;1055241;647773
647774;647774A 20181;A ;20;20181;148121;647774
647775;647775A 20181;A ;95;20181;1044052;647775
647776;647776C 20181;C ;60;20181;999393;647776
647777;647777A 20181;A ;20;20181;54909;647777
647778;647778B 20181;B ;50;20181;1098764;647778
647779;647779C 20181;C ;50;20181;1046144;647779
647780;647780A 20181;A ;50;20181;1035134;647780
647781;647781J 20181;J ;0;20181;1030647;647781
647782;647782O 20181;O ;0;20181;1028707;647782
647783;647783K 20181;K ;0;20181;1094921;647783
647784;647784B 20181;B ;0;20181;1013769;647784
647785;647785T 20181;T ;0;20181;1017438;647785
647786;647786L 20181;L ;0;20181;1074601;647786
647787;647787F 20181;F ;0;20181;1032402;647787
647788;647788S 20181;S ;0;20181;1003836;647788
647789;647789R 20181;R ;0;20181;510611;647789
647790;647790D 20181;D ;0;20181;1094874;647790
647791;647791V 20181;V ;0;20181;1027778;647791
647792;647792G 20181;G ;0;20181;1016491;647792
647793;647793A 20181;A ;0;20181;1038133;647793
647794;647794U 20181;U ;0;20181;1043081;647794
647795;647795E 20181;E ;0;20181;1028197;647795
647796;647796M 20181;M ;0;20181;1011910;647796
647797;647797C 20181;C ;0;20181;151297;647797
647798;647798X 20181;X ;0;20181;897272;647798
647799;647799H 20181;H ;0;20181;1036726;647799
647800;647800P 20181;P ;0;20181;1010379;647800
647801;647801N 20181;N ;0;20181;763403;647801
647802;647802B 20181;B ;1;20181;147559;647802
647803;647803B 20181;B ;20;20181;1036831;647803
647804;647804C 20181;C ;20;20181;1042483;647804
647805;647805D 20181;D ;20;20181;1042483;647805
647806;647806E 20181;E ;20;20181;1036831;647806
647809;647809A 20181;A ;60;20181;1049119;647809
647810;647810A 20181;A ;50;20181;1029070;647810
647811;647811A 20181;A ;30;20181;1014447;647811
647812;647812A 20181;A ;40;20181;1074768;647812
647813;647813A 20181;A ;25;20181;736104;647813
647814;647814A 20181;A ;0;20181;743194;647814
647815;647815B 20181;B ;0;20181;1095994;647815
647817;647817D 20181;D ;0;20181;1014366;647817
647818;647818G 20181;G ;0;20181;995533;647818
647819;647819C 20181;C ;0;20181;951374;647819
647821;647821B 20181;B ;0;20181;1095366;647821
647822;647822H 20181;H ;0;20181;1025911;647822
647823;647823A 20181;A ;0;20181;1030566;647823
647824;647824F 20181;F ;0;20181;1044524;647824
647825;647825A 20181;A ;40;20181;1050303;647825
647826;647826B 20181;B ;40;20181;1038508;647826
647827;647827A 20181;A ;55;20181;1028995;647827
647828;647828A 20181;A ;50;20181;1027328;647828
647829;647829D 20181;D ;0;20181;745944;647829
647830;647830A 20181;A ;20;20181;203416;647830
647831;647831B 20181;B ;20;20181;203416;647831
647832;647832C 20181;C ;30;20181;745944;647832
