cod_oferta;turma;vagas_oferecidas;periodo;matricula_professor;cod_materia;sigla_departamento
653260;A ;12;20181;151785;117391;CIC         
653260;A ;12;20181;151785;117391;CIC         
653260;A ;12;20181;151785;117391;CIC         
653260;A ;12;20181;151785;117391;CIC         
668713;R ;10;20182;986551;116629;CIC         
668713;R ;10;20182;986551;116629;CIC         
668713;R ;10;20182;986551;116629;CIC         
668713;R ;10;20182;986551;116629;CIC         
677347;A ;40;20182;1094122;121681;CIC         
677348;A ;40;20182;1094122;121665;CIC         
677348;A ;40;20182;1094122;121665;CIC         
677348;A ;40;20182;1094122;121665;CIC         
681819;B ;10;20182;1094092;316491;CIC         
681819;B ;10;20182;1094092;316491;CIC         
659974;B ;40;20181;121754;121657;CIC         
659974;B ;40;20181;121754;121657;CIC         
659974;B ;40;20181;121754;121657;CIC         
659975;B ;40;20181;121754;121673;CIC         
662808;RQ;12;20181;1017152;316491;CIC         
662808;RQ;12;20181;1017152;316491;CIC         
664337;F ;3;20181;149667;316521;CIC         
675204;B ;40;20182;999547;121657;CIC         
675204;B ;40;20182;121754;121657;CIC         
675204;B ;40;20182;121754;121657;CIC         
675204;B ;40;20182;999547;121657;CIC         
675204;B ;40;20182;999547;121657;CIC         
675204;B ;40;20182;121754;121657;CIC         
675205;B ;40;20182;121754;121673;CIC         
680261;A ;15;20182;151785;316407;CIC         
680261;A ;15;20182;151785;316407;CIC         
691841;TE;10;20182;1094092;316491;CIC         
691841;TE;10;20182;1094092;316491;CIC         
651181;R ;10;20181;986551;116629;CIC         
651181;R ;10;20181;986551;116629;CIC         
651181;R ;10;20181;986551;116629;CIC         
651181;R ;10;20181;986551;116629;CIC         
657356;A ;30;20181;1096214;121622;CIC         
657356;A ;30;20181;1096214;121622;CIC         
663769;BE;20;20181;1034332;316491;CIC         
663769;BE;20;20181;1034332;316491;CIC         
672508;B ;1;20182;1034332;207322;CIC         
664338;F ;3;20181;149667;316334;CIC         
664338;F ;3;20181;149667;316334;CIC         
664338;F ;3;20181;149667;316334;CIC         
664338;F ;3;20181;149667;316334;CIC         
670564;A ;20;20182;151785;117391;CIC         
670564;A ;20;20182;151785;117391;CIC         
670564;A ;20;20182;151785;117391;CIC         
670564;A ;20;20182;151785;117391;CIC         
680258;A ;20;20182;1036602;316237;CIC         
680258;A ;20;20182;1036602;316237;CIC         
682106;VA;20;20182;1034324;316245;CIC         
682106;VA;20;20182;1034324;316245;CIC         
662812;TC;20;20181;1094092;316491;CIC         
662812;TC;20;20181;1094092;316491;CIC         
655403;B ;25;20181;1106058;116831;CIC         
655403;B ;25;20181;1106058;116831;CIC         
655403;B ;25;20181;1106058;116831;CIC         
680259;A ;15;20182;665495;316504;CIC         
680259;A ;15;20182;665495;316504;CIC         
681349;A ;30;20182;309940;316601;CIC         
681349;A ;30;20182;309940;316601;CIC         
